Date/Time (LST),log_emp1,log_emp2,log_emp3,log_emp4,weekend
2017-01-01T08:00:00Z,FALSE,TRUE,FALSE,FALSE,TRUE
2017-01-01T09:00:00Z,TRUE,FALSE,FALSE,FALSE,TRUE
2017-01-01T10:00:00Z,TRUE,TRUE,FALSE,FALSE,TRUE
2017-01-01T11:00:00Z,FALSE,TRUE,FALSE,FALSE,TRUE
2017-01-01T12:00:00Z,FALSE,FALSE,FALSE,FALSE,TRUE
2017-01-01T13:00:00Z,FALSE,FALSE,FALSE,FALSE,TRUE
2017-01-01T14:00:00Z,TRUE,TRUE,FALSE,FALSE,TRUE
2017-01-01T15:00:00Z,TRUE,TRUE,FALSE,FALSE,TRUE
2017-01-01T16:00:00Z,FALSE,FALSE,FALSE,FALSE,TRUE
2017-01-01T17:00:00Z,FALSE,FALSE,FALSE,FALSE,TRUE
2017-01-01T18:00:00Z,FALSE,FALSE,FALSE,FALSE,TRUE
2017-01-01T19:00:00Z,TRUE,TRUE,FALSE,FALSE,TRUE
2017-01-02T08:00:00Z,FALSE,TRUE,FALSE,FALSE,FALSE
2017-01-02T09:00:00Z,FALSE,FALSE,FALSE,TRUE,FALSE
2017-01-02T10:00:00Z,TRUE,TRUE,TRUE,FALSE,FALSE
2017-01-02T11:00:00Z,FALSE,TRUE,TRUE,FALSE,FALSE
2017-01-02T12:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE
2017-01-02T13:00:00Z,FALSE,TRUE,TRUE,FALSE,FALSE
2017-01-02T14:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE
2017-01-02T15:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE
2017-01-02T16:00:00Z,FALSE,TRUE,TRUE,TRUE,FALSE
2017-01-02T17:00:00Z,FALSE,FALSE,FALSE,TRUE,FALSE
2017-01-02T18:00:00Z,TRUE,TRUE,FALSE,FALSE,FALSE
2017-01-02T19:00:00Z,FALSE,FALSE,TRUE,FALSE,FALSE
2017-01-03T08:00:00Z,FALSE,TRUE,FALSE,FALSE,FALSE
2017-01-03T09:00:00Z,FALSE,TRUE,TRUE,TRUE,FALSE
2017-01-03T10:00:00Z,FALSE,TRUE,FALSE,TRUE,FALSE
2017-01-03T11:00:00Z,FALSE,TRUE,FALSE,FALSE,FALSE
2017-01-03T12:00:00Z,FALSE,TRUE,FALSE,FALSE,FALSE
2017-01-03T13:00:00Z,FALSE,TRUE,FALSE,TRUE,FALSE
2017-01-03T14:00:00Z,FALSE,TRUE,FALSE,TRUE,FALSE
2017-01-03T15:00:00Z,TRUE,TRUE,TRUE,TRUE,FALSE
2017-01-03T16:00:00Z,FALSE,TRUE,FALSE,TRUE,FALSE
2017-01-03T17:00:00Z,TRUE,TRUE,FALSE,TRUE,FALSE
2017-01-03T18:00:00Z,FALSE,FALSE,FALSE,TRUE,FALSE
2017-01-03T19:00:00Z,FALSE,TRUE,TRUE,TRUE,FALSE
2017-01-04T08:00:00Z,FALSE,TRUE,TRUE,FALSE,FALSE
2017-01-04T09:00:00Z,FALSE,TRUE,FALSE,TRUE,FALSE
2017-01-04T10:00:00Z,FALSE,TRUE,FALSE,TRUE,FALSE
2017-01-04T11:00:00Z,FALSE,FALSE,TRUE,FALSE,FALSE
2017-01-04T12:00:00Z,FALSE,FALSE,FALSE,TRUE,FALSE
2017-01-04T13:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE
2017-01-04T14:00:00Z,FALSE,TRUE,FALSE,TRUE,FALSE
2017-01-04T15:00:00Z,TRUE,TRUE,TRUE,FALSE,FALSE
2017-01-04T16:00:00Z,TRUE,FALSE,FALSE,TRUE,FALSE
2017-01-04T17:00:00Z,FALSE,FALSE,FALSE,TRUE,FALSE
2017-01-04T18:00:00Z,FALSE,FALSE,TRUE,TRUE,FALSE
2017-01-04T19:00:00Z,FALSE,TRUE,FALSE,FALSE,FALSE
2017-01-05T08:00:00Z,FALSE,TRUE,FALSE,TRUE,FALSE
2017-01-05T09:00:00Z,FALSE,TRUE,TRUE,TRUE,FALSE
2017-01-05T10:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE
2017-01-05T11:00:00Z,FALSE,TRUE,FALSE,TRUE,FALSE
2017-01-05T12:00:00Z,FALSE,FALSE,TRUE,FALSE,FALSE
2017-01-05T13:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE
2017-01-05T14:00:00Z,FALSE,FALSE,FALSE,TRUE,FALSE
2017-01-05T15:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE
2017-01-05T16:00:00Z,FALSE,TRUE,FALSE,TRUE,FALSE
2017-01-05T17:00:00Z,FALSE,TRUE,TRUE,FALSE,FALSE
2017-01-05T18:00:00Z,FALSE,FALSE,FALSE,TRUE,FALSE
2017-01-05T19:00:00Z,FALSE,FALSE,TRUE,FALSE,FALSE
2017-01-06T08:00:00Z,TRUE,FALSE,TRUE,TRUE,FALSE
2017-01-06T09:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE
2017-01-06T10:00:00Z,FALSE,FALSE,FALSE,TRUE,FALSE
2017-01-06T11:00:00Z,TRUE,TRUE,TRUE,FALSE,FALSE
2017-01-06T12:00:00Z,FALSE,TRUE,TRUE,FALSE,FALSE
2017-01-06T13:00:00Z,TRUE,FALSE,FALSE,TRUE,FALSE
2017-01-06T14:00:00Z,FALSE,FALSE,FALSE,TRUE,FALSE
2017-01-06T15:00:00Z,FALSE,FALSE,TRUE,FALSE,FALSE
2017-01-06T16:00:00Z,TRUE,TRUE,TRUE,TRUE,FALSE
2017-01-06T17:00:00Z,TRUE,TRUE,FALSE,FALSE,FALSE
2017-01-06T18:00:00Z,FALSE,FALSE,FALSE,TRUE,FALSE
2017-01-06T19:00:00Z,TRUE,TRUE,TRUE,TRUE,FALSE
2017-01-07T08:00:00Z,FALSE,TRUE,FALSE,FALSE,TRUE
2017-01-07T09:00:00Z,FALSE,TRUE,FALSE,FALSE,TRUE
2017-01-07T10:00:00Z,FALSE,FALSE,FALSE,FALSE,TRUE
2017-01-07T11:00:00Z,TRUE,TRUE,FALSE,FALSE,TRUE
2017-01-07T12:00:00Z,TRUE,TRUE,FALSE,FALSE,TRUE
2017-01-07T13:00:00Z,FALSE,FALSE,FALSE,FALSE,TRUE
2017-01-07T14:00:00Z,FALSE,FALSE,FALSE,FALSE,TRUE
2017-01-07T15:00:00Z,TRUE,TRUE,FALSE,FALSE,TRUE
